Player Name,Period Name,Period Number,Max Acceleration,Max Deceleration,Acceleration Efforts,Deceleration Efforts,Accel + Decel Efforts,Accel + Decel Efforts Per Minute,Duration,Distance,Player Load,Max Velocity,Max Vel (% Max),Meterage Per Minute,Player Load Per Minute,Work/Rest Ratio,Max Heart Rate,Avg Heart Rate,Max HR (% Max),Avg HR (% Max),HR Exertion,Red Zone,Heart Rate Band 1 Duration,Heart Rate Band 2 Duration,Heart Rate Band 3 Duration,Heart Rate Band 4 Duration,Heart Rate Band 5 Duration,Heart Rate Band 6 Duration,Energy,High Metabolic Load Distance,Standing Distance,Walking Distance,Jogging Distance,Running Distance,HI Distance,Sprint Distance,Sprint Efforts,Sprint Dist Per Min,High Speed Distance,High Speed Efforts,High Speed Distance Per Minute,Impacts,Athlete Tags,Activity Tags,Game Tags,Athlete Participation Tags,Period Tags
Molly Bachman,Period 1,1,4.36,-4.39,101,116,217,1.11,195.15,11584.81,1272.56,7.75,97.56,59.69,6.52,0.1,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,831.14,1080.92,374.13,4407.95,4823.27,1741.77,149.19,87.05,5,0.45,236.24,16,1.21,149,,MD,,Full,
Jenna Bisset,Period 1,1,4.27,-4.36,117,132,249,1.28,195.15,13194.61,1480.61,6.68,85.65,67.8,7.59,0.12,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,947.62,1211.07,332.03,4408.47,5709.21,2470.99,196.05,77.86,6,0.4,273.91,12,1.4,68,,MD,,Full,
Hannah Boelscher,Period 1,1,3.94,-3.95,29,22,51,0.26,195.15,3804.66,545.22,6.73,77.32,19.58,2.79,0.02,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,245.45,302.59,446.24,1703.95,1257.77,338.08,57.51,0.0,0,0.0,57.51,4,0.29,32,,MD,,Full,
Abby Buys,Period 1,1,3.51,-5.16,91,106,197,1.01,195.15,10948.39,1333.73,7.32,93.79,56.33,6.83,0.09,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,786.47,1202.02,319.27,3902.03,4425.55,2013.67,228.17,59.7,3,0.31,287.87,15,1.48,104,,MD,,Full,
Kaleia Coughlin,Period 1,1,3.66,-5.01,39,49,88,0.45,195.15,5333.33,659.81,6.2,71.25,27.46,3.38,0.04,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,357.24,457.06,384.19,2148.68,2096.43,696.42,7.3,0.0,0,0.0,7.3,1,0.04,17,,MD,,Full,
Shay Greff,Period 1,1,3.38,-4.48,49,62,111,0.57,195.15,5993.29,707.21,6.53,75.02,30.79,3.62,0.04,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,400.49,525.28,475.09,2320.28,2541.09,606.28,49.31,0.0,0,0.0,49.31,4,0.25,46,,MD,,Full,
Ava Heil,Period 1,1,3.61,-3.16,11,7,18,0.09,195.15,2211.06,348.74,5.25,60.31,11.36,1.79,0.01,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,135.98,72.87,339.85,1234.79,550.99,85.14,0.0,0.0,0,0.0,0.0,0,0.0,11,,MD,,Full,
Kylee Jerome,Period 1,1,3.36,-3.62,19,18,37,0.19,195.15,2428.79,342.0,5.03,61.66,12.45,1.75,0.0,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,155.44,102.16,328.5,1351.91,675.99,72.45,0.0,0.0,0,0.0,0.0,0,0.0,15,,MD,,Full,
Riley Johnson,Period 1,1,3.88,-4.84,104,98,202,1.04,195.15,11699.35,1403.13,7.01,80.58,60.34,7.19,0.11,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,808.12,1148.61,273.97,3947.22,5891.79,1480.13,104.87,1.35,0,0.01,106.22,7,0.54,70,,MD,,Full,
Gianna Masinter,Period 1,1,3.88,-5.0,90,99,189,0.97,195.15,13395.23,1534.83,7.14,90.56,69.04,7.86,0.11,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,949.36,1145.2,282.15,5038.88,5805.04,2043.31,174.15,51.13,2,0.26,225.28,13,1.15,130,,MD,,Full,
Kody McKinney,Period 1,1,3.28,-2.51,10,4,14,0.07,195.15,2031.83,300.43,4.97,57.09,10.46,1.54,0.0,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,124.19,41.14,271.59,1237.41,490.33,32.5,0.0,0.0,0,0.0,0.0,0,0.0,25,,MD,,Full,
Emma Naftzger,Period 1,1,3.72,-5.21,103,123,226,1.16,195.15,12744.99,1417.33,7.2,95.15,65.51,7.26,0.12,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,909.32,1233.15,302.01,3778.72,5777.85,2580.33,190.99,115.09,8,0.59,306.08,19,1.57,140,,MD,,Full,
Grace Nelson,Period 1,1,3.41,-5.15,94,117,211,1.08,195.15,13762.49,1670.69,6.85,88.7,70.77,8.56,0.12,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,975.66,1076.81,269.01,4250.4,6850.66,2237.37,136.76,17.7,2,0.09,154.46,11,0.79,187,,MD,,Full,
Nikki Ross,Period 1,1,3.73,-5.19,78,98,176,0.9,195.15,9412.25,1079.37,6.64,80.97,48.38,5.53,0.07,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,668.8,917.94,355.06,3399.76,4029.71,1480.39,144.87,1.89,0,0.01,146.76,9,0.75,29,,MD,,Full,
Maddy Saruwatari,Period 1,1,3.64,-4.35,84,83,167,0.86,195.15,9028.02,1160.04,7.12,91.3,46.48,5.94,0.06,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,613.52,815.36,408.61,3749.67,3525.72,1161.61,99.51,80.27,5,0.41,179.78,9,0.92,87,,MD,,Full,
Priya Torres,Period 1,1,3.82,-4.09,88,74,162,0.83,195.15,9825.86,1058.29,6.93,88.68,51.23,5.42,0.07,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,695.93,967.46,249.76,4091.72,3690.31,1510.13,240.03,43.19,3,0.22,283.22,17,1.45,131,,MD,,Full,
Leah Uezato,Period 1,1,3.81,-5.12,66,72,138,0.71,195.15,8495.88,1108.45,7.31,102.2,43.53,5.68,0.06,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,580.67,883.99,165.81,2989.61,3181.13,1760.37,255.04,143.95,7,0.74,398.99,27,2.04,115,,MD,,Full,
Jade Vachek,Period 1,1,3.38,-4.0,26,28,54,0.28,195.15,4019.66,534.31,5.37,66.61,20.6,2.74,0.02,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,261.52,244.88,372.86,1919.78,1277.12,449.72,0.0,0.0,0,0.0,0.0,0,0.0,27,,MD,,Full,
Abby Wright,Period 1,1,3.7,-4.03,87,80,167,0.86,195.15,8892.38,1126.35,7.01,80.52,45.56,5.77,0.08,0,0,0,0,0,0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,611.99,984.39,319.8,3182.39,3930.13,1420.71,38.69,0.67,0,0.0,39.36,4,0.2,75,,MD,,Full,
